"","ID","RYHMA","HARJOITUS","VETO","UUPUMUS","EPAMIELLYTTAVYYS","KIIHTYNEISYYS"
"575",14,"MICT","H6","V3",13,3,2
"576",14,"MICT","H6","V4",15,5,3
"577",15,"MICT","H6","V1",14,4,3
"578",15,"MICT","H6","V2",13,3,2
"579",15,"MICT","H6","V3",13,3,2
"580",15,"MICT","H6","V4",15,5,3
"581",16,"MICT","H6","V1",12,3,3
"582",16,"MICT","H6","V2",13,4,4
"583",16,"MICT","H6","V3",14,5,4
"584",16,"MICT","H6","V4",14,5,5
"585",17,"MICT","H6","V1",12,1,1
"586",17,"MICT","H6","V2",12,1,1
"587",17,"MICT","H6","V3",13,1,1
"588",17,"MICT","H6","V4",13,2,1
"589",18,"MICT","H6","V1",13,3,3
"590",18,"MICT","H6","V2",14,3,3
"591",18,"MICT","H6","V3",15,4,4
"592",18,"MICT","H6","V4",15,4,4
"593",19,"MICT","H6","V1",8,2,1
"594",19,"MICT","H6","V2",9,3,2
"595",19,"MICT","H6","V3",10,4,3
"596",19,"MICT","H6","V4",10,4,3
"597",20,"MICT","H6","V1",13,4,4
"598",20,"MICT","H6","V2",14,5,4
"599",20,"MICT","H6","V3",15,5,5
"600",20,"MICT","H6","V4",15,5,6
"601",21,"MICT","H6","V1",15,6,4
"602",21,"MICT","H6","V2",15,6,4
"603",21,"MICT","H6","V3",15,7,4
"604",21,"MICT","H6","V4",15,7,4
"605",22,"MICT","H6","V1",11,2,2
"606",22,"MICT","H6","V2",11,3,2
"607",22,"MICT","H6","V3",13,3,3
"608",22,"MICT","H6","V4",13,4,3
"609",23,"MICT","H6","V1",12,2,1
"610",23,"MICT","H6","V2",12,3,1
"611",23,"MICT","H6","V3",13,5,1
